,p1,p36,p37,p2a,weekday(p2a),p2b,p6,p7,p8,p9,p10,p11,p12,p13a,p13b,p13c,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p27,p28,p34,p35,p39,p44,p45a,p47,p48a,p49,p50a,p50b,p51,p52,p53,p55a,p57,p58,a,b,d,e,f,g,h,i,j,k,l,n,o,p,q,r,s,t,p5a,region
0,2100160001,4,,2016-01-01,5,55,1,1,0,2,1,2,405,0,0,0,4800,2.0,6.0,1.0,3.0,4.0,1.0,0,1,2,0,2,4,2,19,,3,2.0,15,3.0,0.0,1.0,0.0,1.0,53.0,4000,2.0,1.0,1.0,,,"-734669,815","-1041599,253","-734674,269","-1041598,801",PRAHA9,Kbelsk·,,mÌstnÌkomunikace,,711403.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,451622.0,GN_V0.1UIR-ADR_410,1,PHA
1,2100160002,4,,2016-01-01,5,130,1,3,0,2,1,2,401,0,0,0,600,2.0,3.0,1.0,1.0,4.0,1.0,0,1,2,0,0,4,2,19,,3,47.0,08,1.0,0.0,1.0,0.0,1.0,75.0,300,2.0,1.0,1.0,,,"-742316,861","-1044246,019","-742317,582","-1044245,873",PRAHA2,LEGEROVA,,uzel,,,,,,,,,1,PHA
2,2100160003,5,,2016-01-01,5,100,1,2,0,2,1,2,506,0,0,0,350,1.0,3.0,1.0,1.0,4.0,1.0,2,1,0,0,0,3,2,0,,3,7.0,06,3.0,0.0,1.0,0.0,1.0,1.0,50,3.0,1.0,1.0,,,"-742980,340","-1042534,630","-742983,280","-1042529,900",PRAHA1,Sedmn·ctÈholistopadu,,sledovan·komunikace,,,,,,,,,1,PHA
3,2100160004,6,,2016-01-01,5,120,9,0,0,2,1,9,511,0,0,0,200,2.0,5.0,1.0,5.0,5.0,1.0,1,3,0,0,0,1,1,0,,3,7.0,05,1.0,1.0,1.0,0.0,1.0,5.0,200,2.0,5.0,0.0,,,"-732366,450","-1052365,430","-732368,430","-1052361,620",PRAHA10,KD¡LNICI,,sledovan·komunikace,,,,,,,,,1,PHA
4,2100160005,6,,2016-01-01,5,2560,2,0,0,2,1,0,516,0,0,0,200,2.0,3.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-740779,630","-1042869,610","-740782,980","-1042870,250",PRAHA8,KOLL¡ROVA,,mÌstnÌkomunikace,,,,,,,,,1,PHA
5,2100160006,5,,2016-01-01,5,310,1,4,0,2,1,2,503,0,0,0,1000,2.0,3.0,1.0,5.0,5.0,1.0,5,1,0,0,0,1,2,0,,3,32.0,06,1.0,0.0,1.0,0.0,1.0,3.0,500,2.0,1.0,1.0,,,"-742454,102","-1044216,488","-742453,965","-1044215,779",Praha1,éitn·,,mÌstnÌkomunikace,,712704.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,480304.0,GN_V0.1UIR-ADR_410,1,PHA
6,2100160007,6,,2016-01-01,5,230,3,0,9,2,1,9,511,0,0,0,200,2.0,3.0,1.0,5.0,4.0,1.0,1,1,0,0,0,1,1,0,,3,39.0,11,3.0,0.0,1.0,0.0,1.0,5.0,200,2.0,5.0,1.0,,,"-738253,42","-1041776,705","-738253,781","-1041776,857",Praha,SpojovacÌ,,mÌstnÌkomunikace,,2777321.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,469963.0,GN_V0.1UIR-ADR_410,1,PHA
7,2100160008,6,,2016-01-01,5,300,3,0,1,2,1,0,516,0,0,0,700,2.0,3.0,1.0,1.0,6.0,5.0,1,1,0,0,0,2,1,0,,3,44.0,12,1.0,0.0,4.0,0.0,1.0,5.0,600,9.0,,,,,"-747064,580","-1039567,390","-747067,840","-1039564,710",PRAHA6,HOROMÃÿICK¡,,mÌstnÌkomunikace,,,,,,,,,1,PHA
8,2100160009,5,,2016-01-01,5,440,1,3,0,2,1,2,502,0,0,0,250,2.0,3.0,1.0,1.0,4.0,1.0,2,1,0,5,1,1,2,0,,3,47.0,07,9.0,0.0,1.0,0.0,1.0,1.0,100,2.0,1.0,1.0,,,"-743310,156","-1043085,758","-743311,077","-1043085,333",PRAHA1,KÿIéOVNICK¡,,sledovan·komunikace,,,,,,,,,1,PHA
9,2100160010,5,,2016-01-01,5,450,1,2,0,2,1,2,508,0,0,0,500,1.0,3.0,1.0,5.0,5.0,1.0,5,1,0,0,0,1,2,0,,3,39.0,08,7.0,0.0,1.0,0.0,1.0,1.0,300,2.0,1.0,1.0,,,"-741801,290","-1044606,170","-741800,630","-1044605,430",PRAHA2VINOHRADY,FRANCOUZSK¡,,sledovan·komunikace,,,,,,,,,1,PHA
